date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:55:18	80285/80285	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Feb%202019%2015:24:57%20GMT	http://www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles	C:/My%20Web%20Sites/techno/www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles.html	(from )
20:55:18	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Feb%202019%2015:24:58%20GMT	http://www.codepedant.com/robots.txt		(from )
20:55:19	659/659	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2006%20Feb%202019%2015:24:58%20GMT	http://www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles?format=feed&type=rss	C:/My%20Web%20Sites/techno/www.codepedant.com/joomla/bemax/bemax-demo/homepage/particlesc0d0	(from http://www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles)
20:55:20	687/687	---MC-	200	added ('OK')	application/atom+xml	date:Wed,%2006%20Feb%202019%2015:24:59%20GMT	http://www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles?format=feed&type=atom	C:/My%20Web%20Sites/techno/www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles7b17	(from http://www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles)
20:55:21	10996/10996	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4a90-2af4%22	https://cdnjs.cloudflare.com/ajax/libs/simple-line-icons/2.4.1/css/simple-line-icons.min.css	C:/My%20Web%20Sites/techno/cdnjs.cloudflare.com/ajax/libs/simple-line-icons/2.4.1/css/simple-line-icons.min.css	(from http://www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles)
20:55:21	1439/1439	---M--	200	added ('OK')	text/css	etag:%229ba174e-59f-5711529238980%22	http://www.codepedant.com/joomla/bemax/bemax-demo/components/com_spsimpleportfolio/assets/css/featherlight.min.css	C:/My%20Web%20Sites/techno/www.codepedant.com/joomla/bemax/bemax-demo/components/com_spsimpleportfolio/assets/css/featherlight.min.css	(from http://www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles)
20:55:22	51029/51029	---M--	200	added ('OK')	text/css	etag:%229ba16ab-c755-5713d22c78c80%22	http://www.codepedant.com/joomla/bemax/bemax-demo/components/com_k2/css/k2.css?v=2.8.0	C:/My%20Web%20Sites/techno/www.codepedant.com/joomla/bemax/bemax-demo/components/com_k2/css/k24c4d.css	(from http://www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles)
20:55:22	8818/8818	---M--	200	added ('OK')	text/css	etag:%229ba174f-2272-5711529238980%22	http://www.codepedant.com/joomla/bemax/bemax-demo/components/com_spsimpleportfolio/assets/css/spsimpleportfolio.css	C:/My%20Web%20Sites/techno/www.codepedant.com/joomla/bemax/bemax-demo/components/com_spsimpleportfolio/assets/css/spsimpleportfolio.css	(from http://www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles)
20:55:23	6102/6102	---M--	200	added ('OK')	text/css	etag:%229be1129-17d6-5713faaae9600%22	http://www.codepedant.com/joomla/bemax/bemax-demo/modules/mod_super_simple_contact_form/assets/css/contact-form-style.css	C:/My%20Web%20Sites/techno/www.codepedant.com/joomla/bemax/bemax-demo/modules/mod_super_simple_contact_form/assets/css/contact-form-style.css	(from http://www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles)
20:55:24	21/21	---M--	200	added ('OK')	application/javascript	etag:%229be0871-15-56f9809761900%22	http://www.codepedant.com/joomla/bemax/bemax-demo/media/jui/js/jquery-noconflict.js?ef6cf30e09e8c9d86a3e3160341814df	C:/My%20Web%20Sites/techno/www.codepedant.com/joomla/bemax/bemax-demo/media/jui/js/jquery-noconflicta2d7.js	(from http://www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles)
20:55:25	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%229be0870-2748-56f9809761900%22	http://www.codepedant.com/joomla/bemax/bemax-demo/media/jui/js/jquery-migrate.min.js?ef6cf30e09e8c9d86a3e3160341814df	C:/My%20Web%20Sites/techno/www.codepedant.com/joomla/bemax/bemax-demo/media/jui/js/jquery-migrate.mina2d7.js	(from http://www.codepedant.com/joomla/bemax/bemax-demo/homepage/particles)
